,player,player_id,scoring Average,SG total Average,SG OTT Average,SG ATG Average,SG TTG Average,SG APR Average,SG PUT Average,avg_score_tourney,avg_cut_tourney,avg_score_course,avg_cut_course,odds
203,Justin Suh,50493,70.749,-0.003,0.2,-0.512,-0.255,0.057,0.252,,,,,19750.0
204,Adam Svensson,40115,70.678,0.666,0.032,0.255,0.546,0.259,0.12,,,,,58333.0
205,Callum Tarren,48699,71.502,-0.397,0.097,-0.388,-0.336,-0.045,-0.06,,,,,283333.0
206,Ben Taylor,48119,70.399,1.309,0.088,0.139,0.47,0.243,0.839,,,,,20375.0
207,Nick Taylor,25493,70.101,1.324,0.051,0.375,0.865,0.439,0.459,-3.0,1.0,-3.0,1.0,11250.0
208,Vaughn Taylor,23325,,,,,,,,7.0,0.0,7.0,0.0,
209,Sahith Theegala,51634,70.224,0.804,-0.232,0.304,0.514,0.442,0.29,,,,,19000.0
210,Justin Thomas,33448,70.606,1.089,0.209,0.823,1.129,0.097,-0.04,-1.86,1.0,-1.86,1.0,8025.0
211,Davis Thompson,58168,70.853,-0.039,0.524,-0.18,0.443,0.099,-0.482,,,,,73000.0
212,Michael Thompson,32150,71.651,-0.094,-0.107,0.054,-0.402,-0.349,0.307,2.0,1.0,2.0,1.0,
213,Brendon Todd,30927,70.318,0.967,-0.193,0.376,0.385,0.201,0.582,4.67,0.33,4.67,0.33,28000.0
214,D.J. Trahan,23788,,,,,,,,,,,,
215,Martin Trainer,35617,71.698,-0.638,-0.436,-0.012,-0.736,-0.288,0.098,,,,,
216,Kevin Tway,32333,70.883,-0.026,-0.006,-0.22,-0.258,-0.031,0.231,-2.0,1.0,-2.0,1.0,
217,Bo Van Pelt,23623,,,,,,,,,,,,
218,Erik van Rooyen,40006,71.466,-0.701,0.255,-0.005,-0.074,-0.323,-0.628,6.0,0.0,6.0,0.0,
219,Jhonattan Vegas,27064,70.325,1.067,0.874,0.003,1.447,0.569,-0.379,6.5,0.5,6.5,0.5,
220,Camilo Villegas,27770,72.75,-3.547,-1.629,0.328,-3.266,-1.964,-0.281,4.0,0.0,4.0,0.0,
221,Jimmy Walker,25632,72.068,-0.598,-0.478,0.088,-0.646,-0.065,0.048,2.43,0.86,2.43,0.86,
222,Matt Wallace,48887,71.057,0.197,-0.751,0.54,0.211,0.421,-0.014,3.67,0.67,3.67,0.67,
223,Nick Watney,27095,72.381,-1.679,-1.159,-0.223,-1.419,-0.037,-0.26,,,,,
224,Trevor Werbylo,58967,72.129,-1.355,-0.612,0.032,-1.605,-1.024,0.25,,,,,
225,Richy Werenski,47128,72.594,-1.269,-0.049,-0.328,-1.558,-1.181,0.29,,,,,
226,Kyle Westmoreland,52411,71.558,-0.09,0.172,-0.107,0.213,0.148,-0.303,,,,,183333.0
227,Vince Whaley,51894,,,,,,,,,,,,
228,Tim Wilkinson,25349,,,,,,,,,,,,
229,Danny Willett,32139,70.513,0.698,-0.2,0.296,0.009,-0.087,0.689,2.0,0.5,2.0,0.5,43000.0
230,Aaron Wise,49964,70.217,0.846,0.039,0.417,0.094,-0.362,0.752,-7.0,1.0,-7.0,1.0,366667.0
231,Gary Woodland,31323,71.001,0.008,0.505,-0.661,0.679,0.835,-0.671,4.86,0.29,4.86,0.29,9000.0
232,Tiger Woods,08793,,,,,,,,-1.0,1.0,-1.0,1.0,
233,Brandon Wu,52374,70.541,-0.097,0.28,0.03,0.223,-0.088,-0.319,,,,,
234,Dylan Wu,54783,70.702,0.208,0.036,0.083,0.419,0.3,-0.211,,,,,
235,Cameron Young,57366,70.893,0.388,0.61,-0.271,0.999,0.66,-0.611,10.0,0.0,10.0,0.0,1250.0
236,Carson Young,52513,72.162,-0.919,-0.18,-0.366,-0.762,-0.217,-0.157,,,,,1250.0
237,Kevin Yu,45242,70.373,0.817,0.912,-0.006,1.391,0.485,-0.574,,,,,
238,Carl Yuan,55454,71.237,-0.249,0.125,-0.421,0.109,0.406,-0.358,,,,,
239,Will Zalatoris,47483,70.37,1.644,0.812,0.09,1.02,0.119,0.624,-6.0,1.0,-6.0,1.0,9000.0
